,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description
2017-01-02 11:00:00,0,272.22,0.0,0.0,90.0,2,5
2017-01-02 12:00:00,0,272.27,0.0,0.0,90.0,2,5
2017-01-02 13:00:00,0,544.84,0.0,0.0,180.0,5,11
2017-01-02 14:00:00,0,817.77,0.0,0.0,270.0,9,18
2017-01-02 15:00:00,0,1090.84,0.0,0.0,360.0,14,26
2017-01-02 16:00:00,0,1090.84,0.0,0.0,360.0,15,27
2017-01-02 17:00:00,0,546.04,0.0,0.0,180.0,5,11
2017-01-02 18:00:00,0,546.04,0.0,0.0,180.0,5,11
2017-01-02 19:00:00,0,272.95,0.0,0.0,90.0,3,6
2017-01-02 20:00:00,0,1091.8,0.0,0.0,360.0,16,29
2017-01-02 21:00:00,0,545.9,0.0,0.0,180.0,5,11
2017-01-02 22:00:00,0,545.9,0.0,0.0,180.0,5,11
2017-01-02 23:00:00,0,819.06,0.0,0.0,270.0,11,22
2017-01-03 00:00:00,0,1091.8,0.0,0.0,360.0,15,29
2017-01-03 01:00:00,0,818.8499999999999,0.0,0.0,270.0,11,22
2017-01-03 02:00:00,0,546.04,0.0,0.0,180.0,7,13
2017-01-03 03:00:00,0,546.04,0.0,0.0,180.0,7,13
2017-01-03 04:00:00,0,272.59,0.0,0.0,90.0,3,6
2017-01-03 05:00:00,0,272.48,0.0,0.0,90.0,3,6
2017-01-03 06:00:00,0,272.08,0.0,0.0,90.0,3,6
2017-01-03 07:00:00,0,270.82,0.0,0.0,90.0,0,4
2017-01-03 08:00:00,0,268.72,0.0,0.0,90.0,0,4
2017-01-03 09:00:00,0,265.28,0.0,0.0,90.0,2,5
2017-01-03 10:00:00,0,263.59,0.0,0.0,75.0,2,5
2017-01-03 11:00:00,0,262.78,0.0,0.0,1.0,2,5
2017-01-03 12:00:00,0,262.09,0.0,0.0,1.0,2,5
2017-01-03 13:00:00,0,262.09,0.0,0.0,40.0,0,2
2017-01-03 14:00:00,0,261.59,0.0,0.0,40.0,4,7
2017-01-03 15:00:00,0,261.21,0.0,0.0,1.0,1,1
2017-01-03 16:00:00,0,261.03,0.0,0.0,1.0,1,1
2017-01-03 17:00:00,0,260.42,0.0,0.0,1.0,1,1
2017-01-03 18:00:00,0,259.65,0.0,0.0,5.0,1,1
2017-01-03 19:00:00,0,259.09,0.0,0.0,5.0,1,1
2017-01-03 20:00:00,0,258.34,0.0,0.0,5.0,1,1
2017-01-03 21:00:00,0,257.84,0.0,0.0,5.0,1,1
2017-01-03 22:00:00,0,257.22,0.0,0.0,1.0,1,1
2017-01-03 23:00:00,0,256.9,0.0,0.0,1.0,1,1
2017-01-04 00:00:00,0,256.34,0.0,0.0,1.0,1,1
2017-01-04 01:00:00,0,255.9,0.0,0.0,1.0,1,1
2017-01-04 02:00:00,0,255.42,0.0,0.0,1.0,1,1
2017-01-04 03:00:00,0,254.84,0.0,0.0,1.0,1,1
2017-01-04 04:00:00,0,254.42,0.0,0.0,1.0,1,1
2017-01-04 05:00:00,0,253.72,0.0,0.0,1.0,1,1
2017-01-04 06:00:00,0,253.22,0.0,0.0,1.0,1,1
2017-01-04 07:00:00,0,252.72,0.0,0.0,1.0,1,1
2017-01-04 08:00:00,0,252.08,0.0,0.0,20.0,4,7
2017-01-04 09:00:00,0,504.04,0.0,0.0,40.0,6,12
2017-01-04 10:00:00,0,252.15,0.0,0.0,1.0,4,7
2017-01-04 11:00:00,0,253.03,0.0,0.0,1.0,1,1
2017-01-04 12:00:00,0,254.28,0.0,0.0,1.0,1,1
2017-01-04 13:00:00,0,255.42,0.0,0.0,1.0,1,1
2017-01-04 14:00:00,0,256.15,0.0,0.0,5.0,1,1
2017-01-04 15:00:00,0,256.78,0.0,0.0,5.0,1,1
2017-01-04 16:00:00,0,256.84,0.0,0.0,1.0,1,1
2017-01-04 17:00:00,0,256.53,0.0,0.0,1.0,1,1
2017-01-04 18:00:00,0,255.72,0.0,0.0,75.0,0,0
2017-01-04 19:00:00,0,255.28,0.0,0.0,40.0,0,2
2017-01-04 20:00:00,0,255.15,0.0,0.0,5.0,1,1
2017-01-04 21:00:00,0,254.47,0.0,0.0,5.0,1,1
2017-01-04 22:00:00,0,254.42,0.0,0.0,40.0,0,2
2017-01-04 23:00:00,0,254.89,0.0,0.0,90.0,2,5
2017-01-05 00:00:00,0,509.64,0.0,0.0,180.0,6,12
2017-01-05 01:00:00,0,509.38,0.0,0.0,180.0,6,12
2017-01-05 02:00:00,0,508.98,0.0,0.0,180.0,6,12
2017-01-05 03:00:00,0,507.9,0.0,0.0,180.0,6,12
2017-01-05 04:00:00,0,506.42,0.0,0.0,180.0,6,12
2017-01-05 05:00:00,0,252.56,0.0,0.0,1.0,2,5
2017-01-05 06:00:00,0,251.89,0.0,0.0,1.0,4,7
2017-01-05 07:00:00,0,251.29,0.0,0.0,1.0,3,6
2017-01-05 08:00:00,0,250.84,0.0,0.0,1.0,3,6
2017-01-05 09:00:00,0,250.8,0.0,0.0,5.0,3,6
2017-01-05 10:00:00,0,251.84,0.0,0.0,5.0,3,6
2017-01-05 11:00:00,0,252.95,0.0,0.0,1.0,1,1
2017-01-05 12:00:00,0,254.55,0.0,0.0,1.0,1,1
2017-01-05 13:00:00,0,255.48,0.0,0.0,40.0,0,2
2017-01-05 14:00:00,0,255.78,0.0,0.0,75.0,4,7
2017-01-05 15:00:00,0,256.15,0.0,0.0,75.0,4,7
2017-01-05 16:00:00,0,255.84,0.0,0.0,40.0,0,2
2017-01-05 17:00:00,0,255.28,0.0,0.0,40.0,0,2
2017-01-05 18:00:00,0,254.59,0.0,0.0,40.0,0,2
2017-01-05 19:00:00,0,254.03,0.0,0.0,40.0,0,2
2017-01-05 20:00:00,0,506.92,0.0,0.0,150.0,6,12
2017-01-05 21:00:00,0,505.82,0.0,0.0,2.0,6,12
2017-01-05 22:00:00,0,251.96,0.0,0.0,75.0,0,0
2017-01-05 23:00:00,0,251.46,0.0,0.0,1.0,1,1
2017-01-06 00:00:00,0,250.9,0.0,0.0,1.0,1,1
2017-01-06 01:00:00,0,500.8,0.0,0.0,2.0,7,13
2017-01-06 02:00:00,0,500.06,0.0,0.0,2.0,7,13
2017-01-06 03:00:00,0,249.95,0.0,0.0,1.0,2,5
2017-01-06 04:00:00,0,250.15,0.0,0.0,75.0,2,5
2017-01-06 05:00:00,0,249.46,0.0,0.0,75.0,2,5
2017-01-06 06:00:00,0,249.35,0.0,0.0,1.0,2,5
2017-01-06 07:00:00,0,248.84,0.0,0.0,20.0,4,7
2017-01-06 08:00:00,0,249.15,0.0,0.0,1.0,1,1
2017-01-06 09:00:00,0,249.73,0.0,0.0,1.0,1,1
2017-01-06 10:00:00,0,251.08,0.0,0.0,5.0,1,1
2017-01-06 11:00:00,0,252.83,0.0,0.0,5.0,1,1
2017-01-06 12:00:00,0,254.41,0.0,0.0,1.0,1,1
2017-01-06 13:00:00,0,256.02,0.0,0.0,1.0,1,1
2017-01-06 14:00:00,0,257.02,0.0,0.0,1.0,1,1
2017-01-06 15:00:00,0,257.68,0.0,0.0,40.0,0,2
2017-01-06 16:00:00,0,258.02,0.0,0.0,40.0,0,2
2017-01-06 17:00:00,0,257.49,0.0,0.0,40.0,0,2
2017-01-06 18:00:00,0,256.53,0.0,0.0,20.0,0,3
2017-01-06 19:00:00,0,256.09,0.0,0.0,1.0,1,1
2017-01-06 20:00:00,0,255.22,0.0,0.0,1.0,1,1
2017-01-06 21:00:00,0,255.16,0.0,0.0,1.0,1,1
2017-01-06 22:00:00,0,254.89,0.0,0.0,1.0,1,1
2017-01-06 23:00:00,0,254.69,0.0,0.0,1.0,1,1
2017-01-07 00:00:00,0,254.55,0.0,0.0,1.0,1,1
2017-01-07 01:00:00,0,254.49,0.0,0.0,1.0,1,1
2017-01-07 02:00:00,0,254.35,0.0,0.0,1.0,1,1
2017-01-07 03:00:00,0,254.09,0.0,0.0,1.0,1,1
2017-01-07 04:00:00,0,254.22,0.0,0.0,1.0,1,1
2017-01-07 05:00:00,0,254.03,0.0,0.0,1.0,1,1
2017-01-07 06:00:00,0,254.34,0.0,0.0,1.0,1,1
2017-01-07 07:00:00,0,254.47,0.0,0.0,1.0,1,1
2017-01-07 08:00:00,0,254.53,0.0,0.0,40.0,0,2
2017-01-07 09:00:00,0,254.95,0.0,0.0,5.0,1,1
2017-01-07 10:00:00,0,255.84,0.0,0.0,5.0,1,1
2017-01-07 11:00:00,0,257.02,0.0,0.0,1.0,4,7
2017-01-07 12:00:00,0,258.09,0.0,0.0,1.0,1,1
2017-01-07 13:00:00,0,259.42,0.0,0.0,1.0,1,1
2017-01-07 14:00:00,0,259.69,0.0,0.0,1.0,1,1
2017-01-07 15:00:00,0,260.15,0.0,0.0,5.0,1,1
2017-01-07 16:00:00,0,259.97,0.0,0.0,1.0,1,1
2017-01-07 17:00:00,0,259.22,0.0,0.0,5.0,1,1
2017-01-07 18:00:00,0,258.03,0.0,0.0,5.0,1,1
2017-01-07 19:00:00,0,257.22,0.0,0.0,5.0,1,1
2017-01-07 20:00:00,0,256.65,0.0,0.0,5.0,1,1
2017-01-07 21:00:00,0,256.09,0.0,0.0,5.0,1,1
2017-01-07 22:00:00,0,255.59,0.0,0.0,1.0,1,1
2017-01-07 23:00:00,0,254.9,0.0,0.0,1.0,1,1
2017-01-08 00:00:00,0,254.03,0.0,0.0,1.0,1,1
2017-01-08 01:00:00,0,253.4,0.0,0.0,1.0,1,1
2017-01-08 02:00:00,0,253.49,0.0,0.0,1.0,1,1
2017-01-08 03:00:00,0,252.72,0.0,0.0,1.0,1,1
2017-01-08 04:00:00,0,252.29,0.0,0.0,1.0,1,1
2017-01-08 05:00:00,0,252.22,0.0,0.0,1.0,1,1
2017-01-08 06:00:00,0,251.95,0.0,0.0,1.0,2,5
2017-01-08 07:00:00,0,252.02,0.0,0.0,1.0,1,1
2017-01-08 08:00:00,0,252.22,0.0,0.0,1.0,2,5
2017-01-08 09:00:00,0,253.22,0.0,0.0,1.0,2,5
2017-01-08 10:00:00,0,255.22,0.0,0.0,1.0,1,1
2017-01-08 11:00:00,0,257.08,0.0,0.0,1.0,1,1
2017-01-08 12:00:00,0,259.57,0.0,0.0,40.0,0,2
2017-01-08 13:00:00,0,260.88,0.0,0.0,1.0,1,1
2017-01-08 14:00:00,0,262.01,0.0,0.0,75.0,0,0
2017-01-08 15:00:00,0,262.28,0.0,0.0,90.0,2,5
2017-01-08 16:00:00,0,262.65,0.0,0.0,90.0,2,5
2017-01-08 17:00:00,0,262.46,0.0,0.0,90.0,2,5
2017-01-08 18:00:00,0,262.84,0.0,0.0,90.0,2,5
2017-01-08 19:00:00,0,263.28,0.0,0.0,90.0,2,5
2017-01-08 20:00:00,0,263.48,0.0,0.0,90.0,2,5
2017-01-08 21:00:00,0,264.36,0.0,0.0,90.0,2,5
2017-01-08 22:00:00,0,264.58,0.0,0.0,90.0,2,5
2017-01-08 23:00:00,0,264.51,0.0,0.0,40.0,2,5
2017-01-09 00:00:00,0,264.51,0.0,0.0,90.0,2,5
2017-01-09 01:00:00,0,264.65,0.0,0.0,90.0,2,5
2017-01-09 02:00:00,0,264.75,0.0,0.0,90.0,2,5
2017-01-09 03:00:00,0,265.02,0.0,0.0,90.0,2,5
2017-01-09 04:00:00,0,265.22,0.0,0.0,90.0,2,5
2017-01-09 05:00:00,0,265.42,0.0,0.0,90.0,2,5
2017-01-09 06:00:00,0,265.29,0.0,0.0,90.0,2,5
2017-01-09 07:00:00,0,265.02,0.0,0.0,90.0,0,4
2017-01-09 08:00:00,0,264.53,0.0,0.0,90.0,0,4
2017-01-09 09:00:00,0,264.82,0.0,0.0,90.0,0,4
2017-01-09 10:00:00,0,265.35,0.0,0.0,90.0,2,5
2017-01-09 11:00:00,0,265.95,0.0,0.0,40.0,2,5
2017-01-09 12:00:00,0,266.55,0.0,0.0,90.0,2,5
2017-01-09 13:00:00,0,801.24,0.0,0.0,270.0,9,18
2017-01-09 14:00:00,0,534.44,0.0,0.0,180.0,5,18
2017-01-09 15:00:00,0,801.6600000000001,0.0,0.0,270.0,12,31
2017-01-09 16:00:00,0,535.1,0.0,0.0,180.0,5,11
2017-01-09 17:00:00,0,802.74,0.0,0.0,270.0,9,18
2017-01-09 18:00:00,0,535.44,0.0,0.0,180.0,6,12
2017-01-09 19:00:00,0,268.68,0.0,0.0,90.0,0,4
2017-01-09 20:00:00,0,269.02,0.0,0.0,90.0,0,4
2017-01-09 21:00:00,0,269.22,0.0,0.0,90.0,0,4
2017-01-09 22:00:00,0,269.29,0.0,0.0,1.0,1,1
2017-01-09 23:00:00,0,269.62,0.0,0.0,40.0,0,2
2017-01-10 00:00:00,0,269.68,0.0,0.0,40.0,0,2
2017-01-10 01:00:00,0,269.65,0.0,0.0,1.0,1,1
2017-01-10 02:00:00,0,269.62,0.0,0.0,1.0,1,1
2017-01-10 03:00:00,0,270.03,0.0,0.0,1.0,1,1
2017-01-10 04:00:00,0,269.68,0.0,0.0,1.0,1,1
2017-01-10 05:00:00,0,270.22,0.0,0.0,75.0,0,0
2017-01-10 06:00:00,0,270.59,0.0,0.0,90.0,3,6
2017-01-10 07:00:00,0,540.56,0.0,0.0,180.0,5,11
2017-01-10 08:00:00,0,540.44,0.0,0.0,180.0,5,20
2017-01-10 09:00:00,0,811.02,0.0,0.0,270.0,12,33
2017-01-10 10:00:00,0,540.42,0.0,0.0,180.0,5,18
2017-01-10 11:00:00,0,810.9000000000001,0.0,0.0,270.0,12,31
2017-01-10 12:00:00,0,539.38,0.0,0.0,180.0,5,18
2017-01-10 13:00:00,0,536.2,0.0,0.0,180.0,5,11
2017-01-10 14:00:00,0,797.3399999999999,0.0,0.0,270.0,13,32
2017-01-10 15:00:00,0,792.0899999999999,0.0,0.0,225.0,9,18
2017-01-10 16:00:00,0,262.9,0.0,0.0,90.0,4,7
2017-01-10 17:00:00,0,261.84,0.0,0.0,5.0,4,7
2017-01-10 18:00:00,0,260.9,0.0,0.0,1.0,1,1
2017-01-10 19:00:00,0,260.09,0.0,0.0,1.0,1,1
2017-01-10 20:00:00,0,259.34,0.0,0.0,1.0,1,1
2017-01-10 21:00:00,0,258.78,0.0,0.0,1.0,1,1
2017-01-10 22:00:00,0,258.15,0.0,0.0,1.0,1,1
2017-01-10 23:00:00,0,257.47,0.0,0.0,1.0,1,1
2017-01-11 00:00:00,0,256.95,0.0,0.0,75.0,0,0
2017-01-11 01:00:00,0,257.42,0.0,0.0,90.0,0,4
2017-01-11 02:00:00,0,257.82,0.0,0.0,90.0,2,12
2017-01-11 03:00:00,0,515.36,0.0,0.0,180.0,5,18
2017-01-11 04:00:00,0,515.76,0.0,0.0,180.0,5,11
2017-01-11 05:00:00,0,258.09,0.0,0.0,90.0,2,5
2017-01-11 06:00:00,0,258.15,0.0,0.0,90.0,2,5
2017-01-11 07:00:00,0,516.02,0.0,0.0,180.0,5,18
2017-01-11 08:00:00,0,516.84,0.0,0.0,180.0,5,11
2017-01-11 09:00:00,0,516.92,0.0,0.0,180.0,5,18
2017-01-11 10:00:00,0,517.18,0.0,0.0,180.0,5,11
2017-01-11 11:00:00,0,517.36,0.0,0.0,180.0,6,12
2017-01-11 12:00:00,0,259.28,0.0,0.0,90.0,2,5
2017-01-11 13:00:00,0,259.62,0.0,0.0,40.0,2,5
2017-01-11 14:00:00,0,260.48,0.0,0.0,75.0,0,0
2017-01-11 15:00:00,0,260.42,0.0,0.0,1.0,1,1
2017-01-11 16:00:00,0,260.15,0.0,0.0,1.0,1,1
2017-01-11 17:00:00,0,259.35,0.0,0.0,1.0,1,1
2017-01-11 18:00:00,0,258.96,0.0,0.0,1.0,1,1
2017-01-11 19:00:00,0,258.42,0.0,0.0,1.0,1,1
2017-01-11 20:00:00,0,258.46,0.0,0.0,90.0,0,4
2017-01-11 21:00:00,0,258.29,0.0,0.0,75.0,0,0
2017-01-11 22:00:00,0,258.47,0.0,0.0,90.0,0,4
2017-01-11 23:00:00,0,258.59,0.0,0.0,90.0,0,4
2017-01-12 00:00:00,0,258.59,0.0,0.0,90.0,0,4
2017-01-12 01:00:00,0,258.47,0.0,0.0,90.0,0,4
2017-01-12 02:00:00,0,258.09,0.0,0.0,90.0,0,4
2017-01-12 03:00:00,0,258.15,0.0,0.0,75.0,0,0
2017-01-12 04:00:00,0,257.34,0.0,0.0,90.0,0,4
2017-01-12 05:00:00,0,257.02,0.0,0.0,90.0,0,4
2017-01-12 06:00:00,0,257.15,0.0,0.0,90.0,0,4
2017-01-12 07:00:00,0,257.95,0.0,0.0,90.0,4,7
2017-01-12 08:00:00,0,257.95,0.0,0.0,90.0,0,4
2017-01-12 09:00:00,0,257.76,0.0,0.0,1.0,4,7
2017-01-12 10:00:00,0,258.33,0.0,0.0,5.0,1,1
2017-01-12 11:00:00,0,259.96,0.0,0.0,5.0,1,1
2017-01-12 12:00:00,0,261.52,0.0,0.0,5.0,2,5
2017-01-12 13:00:00,0,262.36,0.0,0.0,1.0,2,14
2017-01-12 14:00:00,0,525.92,0.0,0.0,10.0,6,21
2017-01-12 15:00:00,0,524.7,0.0,0.0,10.0,6,12
2017-01-12 16:00:00,0,261.49,0.0,0.0,1.0,4,7
2017-01-12 17:00:00,0,259.72,0.0,0.0,1.0,1,1
2017-01-12 18:00:00,0,257.6,0.0,0.0,20.0,0,3
2017-01-12 19:00:00,0,256.59,0.0,0.0,5.0,1,1
2017-01-12 20:00:00,0,255.84,0.0,0.0,1.0,1,1
2017-01-12 21:00:00,0,254.34,0.0,0.0,5.0,1,1
2017-01-12 22:00:00,0,253.4,0.0,0.0,90.0,0,4
2017-01-12 23:00:00,0,252.66,0.0,0.0,1.0,1,1
2017-01-13 00:00:00,0,251.73,0.0,0.0,1.0,1,1
2017-01-13 01:00:00,0,251.16,0.0,0.0,1.0,1,1
2017-01-13 02:00:00,0,250.42,0.0,0.0,1.0,1,1
2017-01-13 03:00:00,0,249.35,0.0,0.0,1.0,1,1
2017-01-13 04:00:00,0,248.66,0.0,0.0,1.0,1,1
2017-01-13 05:00:00,0,248.85,0.0,0.0,1.0,1,1
2017-01-13 06:00:00,0,249.5,0.0,0.0,1.0,1,1
2017-01-13 07:00:00,0,250.1,0.0,0.0,40.0,0,2
2017-01-13 08:00:00,0,250.56,0.0,0.0,75.0,0,0
2017-01-13 09:00:00,0,250.54,0.0,0.0,1.0,1,1
2017-01-13 10:00:00,0,252.23,0.0,0.0,75.0,0,0
2017-01-13 11:00:00,0,253.5,0.0,0.0,90.0,0,4
2017-01-13 12:00:00,0,254.35,0.0,0.0,90.0,0,4
2017-01-13 13:00:00,0,255.42,0.0,0.0,90.0,0,4
2017-01-13 14:00:00,0,256.48,0.0,0.0,90.0,0,4
2017-01-13 15:00:00,0,257.43,0.0,0.0,90.0,2,5
2017-01-13 16:00:00,0,258.08,0.0,0.0,75.0,2,5
2017-01-13 17:00:00,0,258.68,0.0,0.0,90.0,0,4
2017-01-13 18:00:00,0,258.69,0.0,0.0,75.0,0,0
2017-01-13 19:00:00,0,259.08,0.0,0.0,75.0,0,0
2017-01-13 20:00:00,0,259.08,0.0,0.0,90.0,0,4
2017-01-13 21:00:00,0,259.59,0.0,0.0,90.0,0,4
2017-01-13 22:00:00,0,259.77,0.0,0.0,90.0,0,4
2017-01-13 23:00:00,0,260.08,0.0,0.0,90.0,0,4
2017-01-14 00:00:00,0,260.35,0.0,0.0,90.0,0,4
2017-01-14 01:00:00,0,259.95,0.0,0.0,1.0,1,1
2017-01-14 02:00:00,0,259.22,0.0,0.0,1.0,1,1
2017-01-14 03:00:00,0,258.75,0.0,0.0,1.0,1,1
2017-01-14 04:00:00,0,258.08,0.0,0.0,1.0,1,1
2017-01-14 05:00:00,0,257.52,0.0,0.0,75.0,0,0
2017-01-14 06:00:00,0,258.15,0.0,0.0,1.0,1,1
2017-01-14 07:00:00,0,258.15,0.0,0.0,1.0,1,1
2017-01-14 08:00:00,0,257.23,0.0,0.0,1.0,1,1
2017-01-14 09:00:00,0,257.28,0.0,0.0,1.0,2,5
2017-01-14 10:00:00,0,259.82,0.0,0.0,1.0,1,1
2017-01-14 11:00:00,0,262.15,0.0,0.0,1.0,1,1
2017-01-14 12:00:00,0,264.48,0.0,0.0,1.0,1,1
2017-01-14 13:00:00,0,265.9,0.0,0.0,5.0,1,1
2017-01-14 14:00:00,0,266.88,0.0,0.0,1.0,1,1
2017-01-14 15:00:00,0,267.42,0.0,0.0,1.0,1,1
2017-01-14 16:00:00,0,267.59,0.0,0.0,5.0,1,1
2017-01-14 17:00:00,0,266.78,0.0,0.0,1.0,1,1
2017-01-14 18:00:00,0,264.41,0.0,0.0,5.0,1,1
2017-01-14 19:00:00,0,262.53,0.0,0.0,5.0,1,1
2017-01-14 20:00:00,0,260.85,0.0,0.0,5.0,1,1
2017-01-14 21:00:00,0,259.76,0.0,0.0,5.0,1,1
2017-01-14 22:00:00,0,259.34,0.0,0.0,1.0,1,1
2017-01-14 23:00:00,0,258.22,0.0,0.0,1.0,1,1
2017-01-15 00:00:00,0,257.22,0.0,0.0,1.0,1,1
2017-01-15 01:00:00,0,256.16,0.0,0.0,1.0,3,6
2017-01-15 02:00:00,0,511.06,0.0,0.0,2.0,7,13
2017-01-15 03:00:00,0,509.92,0.0,0.0,2.0,7,13
2017-01-15 04:00:00,0,254.59,0.0,0.0,1.0,3,6
2017-01-15 05:00:00,0,508.8,0.0,0.0,40.0,7,13
2017-01-15 06:00:00,0,254.59,0.0,0.0,1.0,3,6
2017-01-15 07:00:00,0,254.91,0.0,0.0,1.0,3,6
2017-01-15 08:00:00,0,509.78,0.0,0.0,2.0,5,11
2017-01-15 09:00:00,0,255.72,0.0,0.0,1.0,1,1
2017-01-15 10:00:00,0,258.22,0.0,0.0,1.0,1,1
2017-01-15 11:00:00,0,262.34,0.0,0.0,1.0,1,1
2017-01-15 12:00:00,0,266.2,0.0,0.0,5.0,1,1
2017-01-15 13:00:00,0,269.08,0.0,0.0,40.0,0,2
2017-01-15 14:00:00,0,271.14,0.0,0.0,5.0,1,1
2017-01-15 15:00:00,0,272.21,0.0,0.0,5.0,1,1
2017-01-15 16:00:00,0,272.08,0.0,0.0,40.0,0,2
2017-01-15 17:00:00,0,271.56,0.0,0.0,1.0,1,1
2017-01-15 18:00:00,0,269.89,0.0,0.0,40.0,0,2
2017-01-15 19:00:00,0,268.16,0.0,0.0,5.0,1,1
2017-01-15 20:00:00,0,267.53,0.0,0.0,1.0,1,1
2017-01-15 21:00:00,0,267.15,0.0,0.0,1.0,1,1
2017-01-15 22:00:00,0,266.82,0.0,0.0,1.0,1,1
2017-01-15 23:00:00,0,266.48,0.0,0.0,1.0,3,6
2017-01-16 00:00:00,4,532.16,0.0,0.0,2.0,7,13
2017-01-16 01:00:00,0,265.68,0.0,0.0,1.0,3,6
2017-01-16 02:00:00,0,531.24,0.0,0.0,2.0,7,13
2017-01-16 03:00:00,0,529.9,0.0,0.0,2.0,7,13
2017-01-16 04:00:00,0,263.95,0.0,0.0,1.0,3,6
2017-01-16 05:00:00,0,527.76,0.0,0.0,2.0,7,13
2017-01-16 06:00:00,0,525.76,0.0,0.0,2.0,7,13
2017-01-16 07:00:00,0,523.64,0.0,0.0,2.0,7,13
2017-01-16 08:00:00,0,261.23,0.0,0.0,1.0,3,6
2017-01-16 09:00:00,0,522.72,0.0,0.0,2.0,7,13
2017-01-16 10:00:00,0,527.36,0.0,0.0,150.0,7,13
2017-01-16 11:00:00,0,532.96,0.0,0.0,150.0,7,13
2017-01-16 12:00:00,0,537.54,0.0,0.0,180.0,7,13
2017-01-16 13:00:00,0,541.42,0.0,0.0,180.0,7,13
2017-01-16 14:00:00,0,543.62,0.0,0.0,180.0,7,13
2017-01-16 15:00:00,0,272.55,0.0,0.0,90.0,4,7
2017-01-16 16:00:00,0,272.62,0.0,0.0,90.0,4,7
2017-01-16 17:00:00,0,272.35,0.0,0.0,90.0,4,7
2017-01-16 18:00:00,0,272.08,0.0,0.0,90.0,0,4
2017-01-16 19:00:00,0,271.95,0.0,0.0,90.0,0,4
2017-01-16 20:00:00,0,271.82,0.0,0.0,90.0,0,4
2017-01-16 21:00:00,0,543.9,0.0,0.0,180.0,5,11
2017-01-16 22:00:00,0,815.8499999999999,0.0,0.0,270.0,10,19
2017-01-16 23:00:00,0,544.04,0.0,0.0,180.0,8,21
2017-01-17 00:00:00,0,544.18,0.0,0.0,180.0,5,11
2017-01-17 01:00:00,0,544.16,0.0,0.0,180.0,5,11
2017-01-17 02:00:00,0,544.7,0.0,0.0,150.0,5,11
2017-01-17 03:00:00,0,544.56,0.0,0.0,180.0,5,11
2017-01-17 04:00:00,0,817.0500000000001,0.0,0.0,270.0,10,19
2017-01-17 05:00:00,0,545.02,0.0,0.0,180.0,5,11
2017-01-17 06:00:00,0,817.53,0.0,0.0,270.0,10,19
2017-01-17 07:00:00,0,544.3,0.0,0.0,180.0,9,17
2017-01-17 08:00:00,0,271.89,0.0,0.0,90.0,3,6
2017-01-17 09:00:00,0,816.4499999999999,0.0,0.0,270.0,14,26
2017-01-17 10:00:00,0,816.27,0.0,0.0,270.0,14,26
2017-01-17 11:00:00,0,544.96,0.0,0.0,150.0,7,13
